crop,disease,symptoms,severity,weather_condition,treatment,dosage,application_condition,crop_stage,source
Apple,Apple scab,"Olive-green to brown scabby lesions on leaves and fruits",High,"Cool, wet and humid conditions","Apply recommended fungicide management; remove infected fallen leaves","Mancozeb @ 2 g/L","Apply during suitable dry weather; avoid spraying during rain","Green tip to fruit set","TNAU"
Apple,Black rot,"Brown circular leaf spots; fruit develops dark rot and shrivels",High,"Warm and humid conditions; prolonged wetness","Remove infected plant material and maintain orchard sanitation","Follow current registered product label/agricultural advisory","Apply when foliage is dry and weather is suitable","Flowering to fruit development","TNAU"
Apple,Cedar apple rust,"Yellow-orange spots on leaves followed by rust-coloured structures",Moderate,"Warm and humid conditions with prolonged leaf wetness","Remove infected plant material and use recommended fungicide management","Follow current registered product label/agricultural advisory","Avoid application during rain; follow current label","Leaf development to fruit development","TNAU"
Apple,Healthy,"No visible disease symptoms",Low,"Normal crop-growing conditions","Maintain orchard sanitation, balanced nutrition and regular monitoring","Not applicable","No pesticide application required for healthy plants","All growth stages","TNAU"
Blueberry,Healthy,"No visible disease symptoms",Low,"Normal crop-growing conditions","Maintain proper irrigation, sanitation, balanced nutrition and regular monitoring","Not applicable","No pesticide application required for healthy plants","All growth stages","TNAU/ICAR"
Cherry,Healthy,"No visible disease symptoms",Low,"Normal crop-growing conditions","Maintain orchard sanitation, balanced nutrition and regular monitoring","Not applicable","No pesticide application required for healthy plants","All growth stages","TNAU/ICAR"
Cherry,Powdery mildew,"White powdery growth on leaves and other green tissues; affected tissues may become distorted",Moderate,"Warm and relatively dry conditions with suitable humidity","Remove affected plant material; improve airflow; use a crop-specific registered fungicide if required","Follow current registered product label/agricultural advisory","Do not spray during rain; apply only under suitable dry-weather conditions and according to the label","Leaf development to fruit development","TNAU/ICAR"
Corn (maize),Cercospora leaf spot / Gray leaf spot,"Small tan to brown rectangular lesions that enlarge along leaf veins and may cause leaf blighting",Moderate,"Warm and humid conditions with prolonged leaf wetness","Remove crop residues; use resistant/tolerant varieties and recommended disease management","Follow current registered product label/agricultural advisory","Avoid application during rain; follow current product label for timing","Vegetative to reproductive","TNAU/ICAR"
Corn (maize),Common rust,"Small reddish-brown elongated pustules on both sides of leaves",Moderate,"Cool to moderate temperatures with high humidity and leaf wetness","Use resistant/tolerant varieties and maintain proper crop management","Follow current registered product label/agricultural advisory","Apply only under suitable dry-weather conditions and according to the label","Vegetative to reproductive","TNAU/ICAR"
Corn (maize),Healthy,"No visible disease symptoms",Low,"Normal crop-growing conditions","Maintain balanced nutrition, proper irrigation, field sanitation and regular monitoring","Not applicable","No pesticide application required for healthy plants","All growth stages","TNAU/ICAR"
Corn (maize),Northern Leaf Blight,"Long elliptical grey-green to tan lesions on leaves that enlarge and cause leaf blight",High,"Warm and humid conditions with prolonged leaf wetness","Use resistant/tolerant varieties; maintain field sanitation and recommended disease management","Follow current registered product label/agricultural advisory","Avoid spraying during rain; apply under suitable dry conditions according to the label","Vegetative to reproductive","TNAU/ICAR"
Grape,Black rot,"Brown circular spots on leaves; dark lesions and black shrivelled spots may develop on berries",High,"Warm and humid conditions with frequent rain or prolonged leaf wetness","Remove infected leaves, berries and plant debris; maintain good canopy ventilation and recommended disease management","Follow current registered product label/agricultural advisory","Avoid application during rain; apply when foliage is dry and weather is suitable","Flowering to fruit development","TNAU/ICAR"
Grape,Esca (Black Measles),"Dark spots and streaks on leaves with interveinal discoloration; fruits may develop dark spotting",High,"Warm conditions with moisture stress and prolonged wetness can favour disease development","Remove severely affected plant material; maintain vineyard sanitation and use recommended disease management","Follow current registered product label/agricultural advisory","Apply only according to a crop-specific registered label or agricultural advisory","Vegetative to fruit development","TNAU/ICAR"
Grape,Leaf blight (Isariopsis Leaf Spot),"Brown to reddish-brown leaf spots that enlarge and may cause leaf blighting and premature defoliation",Moderate,"Warm, humid and wet conditions","Remove infected leaves and improve canopy ventilation; use recommended fungicide management when required","Follow current registered product label/agricultural advisory","Avoid spraying during rain; apply when foliage is dry and according to the label","Vegetative to fruit development","TNAU/ICAR"
Grape,Healthy,"No visible disease symptoms",Low,"Normal crop-growing conditions","Maintain vineyard sanitation, balanced nutrition, proper irrigation and regular monitoring","Not applicable","No pesticide application required for healthy plants","All growth stages","TNAU/ICAR"
Orange,Haunglongbing (Citrus greening),"Yellowing and blotchy mottling of leaves; leaves may show nutrient-like deficiency patterns and fruits may remain small or develop uneven colour",High,"Warm conditions with active insect-vector populations","Remove severely affected trees where recommended; use certified disease-free planting material and manage the insect vector","Follow current registered product label/agricultural advisory","Vector management should follow the current crop-specific advisory; avoid unnecessary pesticide application","Vegetative to fruit development","TNAU/ICAR"
Peach,Bacterial spot,"Small dark water-soaked spots on leaves and fruits that enlarge and may cause lesions and fruit spotting",Moderate,"Warm, humid and wet conditions","Remove infected plant material; maintain orchard sanitation and use recommended bacterial disease management","Follow current registered product label/agricultural advisory","Avoid application during rain; apply only according to the crop-specific registered label","Leaf development to fruit development","TNAU/ICAR"
Peach,Healthy,"No visible disease symptoms",Low,"Normal crop-growing conditions","Maintain orchard sanitation, balanced nutrition, proper irrigation and regular monitoring","Not applicable","No pesticide application required for healthy plants","All growth stages","TNAU/ICAR"
"Pepper, bell",Bacterial spot,"Small dark water-soaked spots on leaves, stems and fruits; lesions may enlarge and cause leaf drop",High,"Use disease-free seed and seedlings; remove infected plant material; maintain field sanitation and avoid overhead irrigation","Follow current registered product label/agricultural advisory","Avoid working with or irrigating foliage when it is wet; apply any approved treatment according to the current label","Seedling to fruit development","TNAU/ICAR"
"Pepper, bell",Healthy,"No visible disease symptoms",Low,"Normal crop-growing conditions","Maintain proper irrigation, balanced nutrition, field sanitation and regular monitoring","Not applicable","No pesticide application required for healthy plants","All growth stages","TNAU/ICAR"
Potato,Early blight,"Dark brown circular lesions with concentric rings on older leaves; severe infection causes leaf yellowing and drying",High,"Warm and humid conditions with frequent wetness","Remove infected plant debris; maintain field sanitation and use recommended fungicide management","Mancozeb 75% WP @ 2 g/L","Avoid spraying during rain; apply when foliage is dry and according to the current label","Vegetative to tuber development","TNAU/ICAR"
Potato,Late blight,"Water-soaked pale to dark lesions on leaves that rapidly enlarge; white fungal growth may appear under humid conditions",High,"Cool, humid and wet conditions with prolonged leaf wetness","Remove infected plant material; ensure proper drainage and use recommended late-blight management","Follow current registered product label/agricultural advisory","Monitor closely during wet weather; avoid application during rain and follow the current label","Vegetative to tuber development","TNAU/ICAR"
Potato,Healthy,"No visible disease symptoms",Low,"Normal crop-growing conditions","Maintain proper irrigation, balanced nutrition, field sanitation and regular monitoring","Not applicable","No pesticide application required for healthy plants","All growth stages","TNAU/ICAR"
Raspberry,Healthy,"No visible disease symptoms",Low,"Normal crop-growing conditions","Maintain proper irrigation, balanced nutrition, field sanitation and regular monitoring","Not applicable","No pesticide application required for healthy plants","All growth stages","TNAU/ICAR"
Soybean,Healthy,"No visible disease symptoms",Low,"Normal crop-growing conditions","Maintain proper irrigation, balanced nutrition, field sanitation and regular monitoring","Not applicable","No pesticide application required for healthy plants","All growth stages","TNAU/ICAR"
Squash,Powdery mildew,"White powdery growth appears on leaves and may spread over the leaf surface; affected leaves may yellow and dry",Moderate,"Warm conditions with suitable humidity and relatively dry leaf surfaces","Remove severely affected plant material; improve airflow and use recommended fungicide management when required","Follow current registered product label/agricultural advisory","Avoid application during rain; apply when foliage is dry and according to the current label","Vegetative to fruit development","TNAU/ICAR"
Strawberry,Leaf scorch,"Irregular dark purple to reddish spots develop on leaves and may enlarge, causing leaf tissue to dry and scorch",Moderate,"Warm, humid conditions with prolonged leaf wetness","Remove infected leaves and crop debris; maintain good field sanitation and proper plant spacing","Follow current registered product label/agricultural advisory","Avoid application during rain; apply when foliage is dry and according to the current label","Vegetative to fruit development","TNAU/ICAR"
Strawberry,Healthy,"No visible disease symptoms",Low,"Normal crop-growing conditions","Maintain proper irrigation, balanced nutrition, field sanitation and regular monitoring","Not applicable","No pesticide application required for healthy plants","All growth stages","TNAU/ICAR"
Tomato,Bacterial spot,"Small dark water-soaked spots on leaves, stems and fruits; fruit lesions may become raised and rough",High,"Warm, humid and wet conditions with prolonged leaf wetness","Use disease-free seed and seedlings; remove infected plant material and maintain field sanitation","Follow current registered product label/agricultural advisory","Avoid working with wet foliage; avoid application during rain and follow the current label","Seedling to fruit development","TNAU/ICAR"
Tomato,Early blight,"Dark brown circular spots with concentric rings on older leaves; severe infection causes yellowing and leaf drying",High,"Warm and humid conditions with frequent rain or prolonged wetness","Remove infected leaves and crop debris; maintain field sanitation and use recommended fungicide management","Mancozeb 75% WP @ 2 g/L","Apply during suitable dry weather; avoid spraying during rain and follow the current label","Vegetative to fruit development","TNAU"
